capability,rank,repo,composite,maintenance,popularity,governance,license_fit,stars,forks,open_issues,contributors,commits_90d,releases_90d,pushed_at,license,archived
memory-tier,1,cpacker/MemGPT,10.0,10.0,10.0,10.0,10.0,22819,2432,68,100,100,4,2026-05-14T17:14:23Z,apache-2.0,False
memory-tier,2,letta-ai/letta,10.0,10.0,10.0,10.0,10.0,22819,2432,68,100,100,4,2026-05-14T17:14:23Z,apache-2.0,False
memory-tier,3,mem0ai/mem0,9.75,10.0,10.0,9.0,10.0,56153,6392,387,100,100,47,2026-05-18T10:57:45Z,apache-2.0,False
memory-tier,4,run-llama/llama_index,9.75,10.0,10.0,9.0,10.0,49508,7430,391,100,100,7,2026-05-19T11:12:50Z,mit,False
memory-tier,5,topoteretes/cognee,9.7,10.0,9.0,10.0,10.0,17340,1819,72,100,100,36,2026-05-19T16:06:50Z,apache-2.0,False
memory-tier,6,microsoft/graphrag,9.7,9.0,10.0,10.0,10.0,33097,3505,117,51,26,6,2026-05-13T19:27:47Z,mit,False
memory-tier,7,pgvector/pgvector,8.25,5.0,10.0,9.0,10.0,21368,1178,12,21,25,0,2026-04-27T10:28:52Z,other,False
memory-tier,8,getzep/zep,6.2,3.0,6.0,8.0,10.0,4585,627,23,15,8,0,2026-04-09T01:30:25Z,apache-2.0,False
observability,1,langfuse/langfuse,9.5,10.0,10.0,8.0,10.0,27495,2805,624,100,100,30,2026-05-19T17:09:16Z,other,False
observability,2,mlflow/mlflow,9.25,10.0,10.0,7.0,10.0,26009,5752,2088,100,100,10,2026-05-19T16:24:40Z,apache-2.0,False
observability,3,traceloop/openllmetry,9.15,10.0,8.0,9.0,10.0,7128,966,492,100,100,18,2026-05-19T17:07:21Z,apache-2.0,False
observability,4,Arize-ai/phoenix,8.9,10.0,8.0,8.0,10.0,9743,880,529,100,100,86,2026-05-19T17:08:07Z,other,False
observability,5,Agenta-AI/agenta,8.8,10.0,6.0,10.0,10.0,4136,520,88,86,100,59,2026-05-19T16:42:45Z,other,False
observability,6,helicone/helicone,7.9,6.0,7.0,10.0,10.0,5692,579,98,97,38,0,2026-05-18T23:17:57Z,apache-2.0,False
multi-agent-runtime,1,crewAIInc/crewAI,9.75,10.0,10.0,9.0,10.0,51729,7163,331,100,100,54,2026-05-19T16:24:31Z,mit,False
